F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
4.168052670636333e-06,-1.9318904171715245e-05,-8.174150648559957e-06,-1.0273813636174961e-05,-8.928894118183316e-06,-1.1947914957331527e-05,-1.499497202892882e-06,-3.363741180595144e-06,-9.489028785033486e-07,2.828476135622816e-08,4.2898037469801025e-06,-1.0765815650061385e-05,-2.5042507801621314e-05
4.068424293441962e-06,-1.961583383010886e-05,-8.063330371997356e-06,-1.0295697603181886e-05,-8.830493922326372e-06,-1.2487252223185293e-05,-1.639092874468994e-06,-2.7552666670824777e-06,-8.991051863172699e-07,1.9780730958473144e-07,4.545663012693071e-06,-1.062918699347498e-05,-2.6567969343575394e-05
3.944158764024821e-06,-1.9576914844378455e-05,-8.13453149569408e-06,-1.0518983496862543e-05,-8.951166059828326e-06,-1.2752235548602754e-05,-1.7014107495376472e-06,-2.7214258565006745e-06,-8.097241958778468e-07,1.4191144750700262e-07,4.505190052210222e-06,-1.0574918077650431e-05,-2.7381284338808498e-05
3.918719173172132e-06,-1.955148645556702e-05,-8.402583410397934e-06,-1.0494622981623052e-05,-9.150404665485381e-06,-1.2973909137981682e-05,-1.897229693070153e-06,-2.8516379614656728e-06,-7.962435391723899e-07,1.0375606544954342e-07,4.652493496058076e-06,-1.0542725442991865e-05,-2.8628793180257133e-05
3.8662168186570995e-06,-1.9622307646816113e-05,-8.397734897943655e-06,-1.063006958389684e-05,-9.255023317814761e-06,-1.3129280604748792e-05,-2.0280931095890466e-06,-2.875948285952275e-06,-8.165951347671965e-07,8.64421588899691e-08,4.578034007866732e-06,-1.053216088721809e-05,-2.9038147249999316e-05
3.88681904061022e-06,-1.9582019763328784e-05,-8.38874435231435e-06,-1.0649394803047558e-05,-9.286402350466392e-06,-1.3005888816303848e-05,-2.0617235978557176e-06,-2.8750229644186993e-06,-7.629318583501869e-07,9.709203360882474e-08,4.595280239210224e-06,-1.055500262095218e-05,-2.9506727919723723e-05
3.893522715395508e-06,-1.9351001216939738e-05,-8.372760378477554e-06,-1.0618013093640778e-05,-9.158692426593567e-06,-1.2951132606996984e-05,-2.153203110226635e-06,-2.7915330318183117e-06,-7.664828456322243e-07,1.2022608092325965e-07,4.571669362821341e-06,-1.0592674421344578e-05,-3.064125942746851e-05
3.865061225469378e-06,-1.934864718750621e-05,-8.398665513976881e-06,-1.0622652577169693e-05,-9.169572627582011e-06,-1.2956048799719715e-05,-2.139309265507249e-06,-2.8311297814478227e-06,-7.382883933677809e-07,1.3559139261423947e-07,4.570072387675798e-06,-1.0593247698516114e-05,-3.0681164227631406e-05
3.844928177356824e-06,-1.9244390771112057e-05,-8.42258166514876e-06,-1.0567903250494535e-05,-9.162760191664303e-06,-1.2966564806318984e-05,-2.1512115123230064e-06,-2.830918798957411e-06,-7.392660244475659e-07,1.1553278613483743e-07,4.562585440745796e-06,-1.0548812672446959e-05,-3.0606637777989354e-05
3.869130297200815e-06,-1.92425756898646e-05,-8.419466337106058e-06,-1.0582278172539529e-05,-9.165325766418952e-06,-1.2963171951160673e-05,-2.1543202274417112e-06,-2.826727202960311e-06,-7.675557437816215e-07,1.239226504344282e-07,4.560832222232878e-06,-1.050797873412332e-05,-3.0582486411136676e-05
3.914397305203913e-06,-1.9546283507794358e-05,-8.40268323857133e-06,-1.0596245835705754e-05,-9.224309738113333e-06,-1.2946114343494647e-05,-2.048781489466133e-06,-2.8530579079218185e-06,-7.094539895651011e-07,1.5407893103192335e-07,4.617206510519856e-06,-1.0467010051665295e-05,-2.9353077044456855e-05
3.891922285677169e-06,-1.952663217461114e-05,-8.386130467433529e-06,-1.0594852546543824e-05,-9.203594074544532e-06,-1.3014078193520485e-05,-2.0204778368488575e-06,-2.859425273202531e-06,-7.260554746030801e-07,1.485774524409275e-07,4.619120791569817e-06,-1.0444000786745254e-05,-2.8995708101633497e-05
3.927320392189225e-06,-1.9465943939639114e-05,-8.344196464322133e-06,-1.0538956855710969e-05,-9.154374734223428e-06,-1.2905960519260042e-05,-1.974350915850383e-06,-2.5716928629711474e-06,-6.999903421280649e-07,1.836528674137818e-07,4.6487551110422235e-06,-1.0415971296891596e-05,-2.8709624839647314e-05
